Adress,Latitude,Longtitude
Aarhus,56.162939,10.203921
Aberdeen(GBR),57.149717,-2.094278
Abidjan,5.3599517,-4.0082563
Abu Dhabi,24.453884,54.3773438
Abu Kir,31.3114241,30.0603342
Achipur,22.4607619,88.1236476
Adabiya,29.87274,32.467621
Adelaide,-34.9284989,138.6007456
Aden,12.7854969,45.0186548
Agadir,30.4277547,-9.5981072
Agioi Theodoroi,37.9282447,23.1433311
Alanya,36.544443,31.995408
Alexandria(EGY),31.2000924,29.9187387
Algeciras,36.1407591,-5.456233
Algeciras Bay,36.1387978,-5.3999649
Algiers,36.753768,3.0587561
Aliaga,38.799561,26.97074
Alicante,38.3459963,-0.4906855
Altamira,43.377452,-4.122347
Altinova,40.6966449,29.510108
Ambarli,40.9716374,28.6796565
American Samoa,-14.270972,-170.132217
Amsterdam,52.3666969,4.8945398
Ancona,43.6158299,13.518915
Antalya,36.8968908,30.7133233
Antwerp,51.2194475,4.4024643
Apapa-Lagos,6.45528,3.3640841
Aqaba,29.5320522,35.0063209
Aratu,-12.77648,-38.4981107
Archangel,38.9650839,-94.3879268
Arles,43.676647,4.6277769
Ashdod,31.804381,34.655314
Aughinish Is.,52.6211111,-9.0661111
Augusta,33.4734978,-82.0105148
Aveiro,40.6405055,-8.6537539
Aviles,43.5579523,-5.9246653
Avonmouth,51.5022576,-2.6914364
Bahia Blanca,-38.7183177,-62.2663478
Bahrain,26.0667,50.5577
Bakar,40.623792,-73.9646942
Balboa,32.7341479,-117.144553
Baltimore,39.2903848,-76.6121893
Bandar Abbas,27.1832216,56.2666455
Bandar Imam Khomeini,30.4472068,49.0716096
Bandirma,40.353707,27.971405
Bangkok,13.7563309,100.5017651
Banjul,13.4548761,-16.5790323
Barcelona,36.0880358,-95.9236998
Bari,41.1171432,16.8718715
Barletta,41.74445,-85.739592
Barranquilla,11.0041072,-74.8069813
Bayonne,40.6687141,-74.1143091
Bayuquan,40.230636,122.107814
Beaumont,42.6198244,-83.0932583
Beira,-19.8315949,34.8370183
Bejaia,36.7515258,5.0556837
Belfast,54.597285,-5.93012
Belledune,47.8859489,-65.8114778
Berdiansk,46.7737707,36.8034779
Big Creek,38.8886408,-99.3549342
Bilbao,43.2630126,-2.9349852
Binh Thuan,11.0903703,108.0720781
Bintulu,3.171322,113.0419069
Bizerta,37.2767579,9.8641609
Bordeaux,44.837789,-0.57918
